Entity,Number of deaths from disasters,Total economic damages from disasters,"Total number of people affected by disasters per 100,000",Total economic damages from disasters as a share of GDP
Afghanistan,211.0,0.0,344.2037748,0.0
Albania,51.0,745000.0,7213.641097,4.873545375
Algeria,8.0,0.0,290.3978817,0.0
Angola,71.0,0.0,51.90887667,0.0
Argentina,14.0,0.0,157.1715683,0.0
Armenia,0.0,0.0,395.5375254,0.0
Australia,35.0,4000000.0,77.01464111,0.286416005
Austria,12.0,0.0,0.0,0.0
Bahamas,356.0,3400000.0,3840.616967,25.03903143
Bangladesh,260.0,80785.0,4835.486304,0.026700224
Belgium,716.0,0.0,0.0,0.0
Bolivia,83.0,0.0,3374.793711,0.0
Bosnia and Herzegovina,1.0,0.0,22.99303241,0.0
Botswana,0.0,0.0,1649.305556,0.0
Brazil,47.0,0.0,4761.418147,0.0
Burundi,61.0,0.0,118.940248,0.0
Cambodia,12.0,0.0,2638.442409,0.0
Cameroon,54.0,0.0,0.0,0.0
Canada,2.0,1075000.0,52.12370693,0.06172556
Central African Republic,0.0,0.0,421.4963119,0.0
Chad,52.0,0.0,2.884555089,0.0
Chile,8.0,0.0,11.22308991,0.0
China,572.0,18646000.0,373.4999666,0.130575144
Colombia,84.0,0.0,79.25663998,0.0
Comoros,8.0,0.0,40577.08578,0.0
Congo,0.0,0.0,3958.37205,0.0
Cote d'Ivoire,12.0,0.0,56.95065521,0.0
Croatia,1.0,0.0,1.573849879,0.0
Cuba,6.0,0.0,89.21732992,0.0
Democratic Republic of Congo,80.0,0.0,461.2736344,0.0
Djibouti,11.0,0.0,25667.35113,0.0
Ecuador,16.0,0.0,19.62127317,0.0
El Salvador,1.0,0.0,2.479082739,0.0
Eswatini,0.0,0.0,20209.05923,0.0
Ethiopia,23.0,0.0,178.4455607,0.0
Fiji,1.0,0.0,874.1573034,0.0
France,1451.0,415000.0,4.977736834,0.015282524
Gambia,4.0,0.0,643.1431005,0.0
Georgia,0.0,0.0,127.2954716,0.0
Germany,5.0,0.0,0.0,0.0
Ghana,32.0,0.0,85.81103294,0.0
Greece,7.0,0.0,1.174448582,0.0
Guatemala,4.0,0.0,446.2374154,0.0
Haiti,14.0,0.0,39.35896298,0.0
Hungary,0.0,0.0,1548.786784,0.0
India,2307.0,11810000.0,1697.907169,0.411426581
Indonesia,469.0,1318000.0,443.7024052,0.117774263
Iran,83.0,2670000.0,12092.51272,1.033901915
Iraq,10.0,0.0,14.91986772,0.0
Italy,5.0,0.0,2.33195706,0.0
Japan,288.0,26210000.0,424.2629671,0.517486135
Kenya,187.0,0.0,5389.468178,0.0
Laos,19.0,0.0,7079.090529,0.0
Lebanon,3.0,0.0,160.5746791,0.0
Lesotho,0.0,0.0,20376.47059,0.0
Libya,4.0,7100.0,295.5585067,0.013629954
Luxembourg,0.0,0.0,246.5909091,0.0
Madagascar,17.0,25000.0,79.32440951,0.176156679
Malawi,68.0,0.0,5323.715712,0.0
Malaysia,2.0,0.0,70.35054773,0.0
Maldives,0.0,0.0,338.9830508,0.0
Mali,15.0,0.0,35.51225964,0.0
Mauritania,3.0,0.0,742.3773752,0.0
Mexico,16.0,383000.0,3.795384712,0.030184337
Moldova,0.0,0.0,135.0482315,0.0
Mongolia,12.0,0.0,93.02325581,0.0
Morocco,39.0,0.0,0.627878921,0.0
Mozambique,704.0,2230000.0,6660.936574,14.5833146
Myanmar,128.0,0.0,14.94125266,0.0
Nepal,147.0,204000.0,340.4348282,0.596732352
Netherlands,400.0,0.0,0.0,0.0
New Zealand,21.0,0.0,0.480869747,0.0
Niger,52.0,0.0,956.6299172,0.0
Nigeria,36.0,0.0,61.52345694,0.0
Norway,1.0,0.0,2.788622421,0.0
Oman,6.0,0.0,0.0,0.0
Pakistan,361.0,17000.0,2222.123694,0.006110229
Papua New Guinea,12.0,0.0,191.4425706,0.0
Paraguay,40.0,0.0,7454.889993,0.0
Peru,78.0,0.0,134.0479852,0.0
Philippines,180.0,593571.0,6288.441226,0.157519844
Poland,4.0,0.0,0.414379223,0.0
Portugal,2.0,0.0,0.0,0.0
Romania,4.0,0.0,1.869351924,0.0
Russia,59.0,592000.0,34.41647472,0.035082521
Rwanda,28.0,0.0,47.18460442,0.0
Saudi Arabia,20.0,0.0,4.137850535,0.0
Senegal,6.0,0.0,55.03190967,0.0
Serbia,0.0,0.0,132.8089375,0.0
Sierra Leone,7.0,0.0,132.8682964,0.0
Slovakia,1.0,0.0,0.0,0.0
Somalia,23.0,0.0,13145.11429,0.0
South Africa,102.0,185000.0,1288.50029,0.052641763
South Korea,21.0,553000.0,171.5705222,0.0335815
Spain,27.0,2558000.0,8.179814708,0.183567876
Sri Lanka,30.0,0.0,3539.040518,0.0
Sudan,78.0,0.0,823.343377,0.0
Switzerland,4.0,0.0,0.0,0.0
Tajikistan,4.0,0.0,72.41712263,0.0
Tanzania,47.0,0.0,3456.598569,0.0
Thailand,26.0,0.0,1262.294258,0.0
Turkey,19.0,0.0,20.06832075,0.0
Uganda,215.0,0.0,473.3521572,0.0
United Kingdom,6.0,0.0,0.148082334,0.0
United States,152.0,23150000.0,5.92618494,0.108010003
Uruguay,0.0,0.0,378.480647,0.0
Vietnam,59.0,49000.0,863.2746574,0.018707931
Zambia,4.0,0.0,7950.282739,0.0
Zimbabwe,654.0,0.0,1844.902697,0.0
